sl_no;gender;ssc_p;ssc_b;hsc_p;hsc_b;hsc_s;degree_p;degree_t;workex;etest_p;specialisation;mba_p;status;salary
17;M;63.00;Central;66.20;Central;Commerce;65.60;Comm&Mgmt;Yes;60;Mkt&Fin;62.54;Yes;300000
18;F;55.00;Central;67.00;Central;Commerce;64.00;Comm&Mgmt;No;60;Mkt&Fin;67.28;No;
19;F;63.00;Central;66.00;Central;Commerce;64.00;Comm&Mgmt;No;68;Mkt&HR;64.08;No;
20;M;60.00;Others;67.00;Others;Arts;70.00;Comm&Mgmt;Yes;50.48;Mkt&Fin;77.89;Yes;236000
21;M;62.00;Others;65.00;Others;Commerce;66.00;Comm&Mgmt;No;50;Mkt&HR;56.7;Yes;265000
22;F;79.00;Others;76.00;Others;Commerce;85.00;Comm&Mgmt;No;95;Mkt&Fin;69.06;Yes;393000
23;F;69.80;Others;60.80;Others;Science;72.23;Sci&Tech;No;55.53;Mkt&HR;68.81;Yes;360000
24;F;77.40;Others;60.00;Others;Science;64.74;Sci&Tech;Yes;92;Mkt&Fin;63.62;Yes;300000
25;M;76.50;Others;97.70;Others;Science;78.86;Sci&Tech;No;97.4;Mkt&Fin;74.01;Yes;360000
26;F;52.58;Others;54.60;Central;Commerce;50.20;Comm&Mgmt;Yes;76;Mkt&Fin;65.33;No;
27;M;71.00;Others;79.00;Others;Commerce;66.00;Comm&Mgmt;Yes;94;Mkt&Fin;57.55;Yes;240000
28;M;63.00;Others;67.00;Others;Commerce;66.00;Comm&Mgmt;No;68;Mkt&HR;57.69;Yes;265000
29;M;76.76;Others;76.50;Others;Commerce;67.50;Comm&Mgmt;Yes;73.35;Mkt&Fin;64.15;Yes;350000
30;M;62.00;Central;67.00;Central;Commerce;58.00;Comm&Mgmt;No;77;Mkt&Fin;51.29;No;
31;F;64.00;Central;73.50;Central;Commerce;73.00;Comm&Mgmt;No;52;Mkt&HR;56.7;Yes;250000
32;F;67.00;Central;53.00;Central;Science;65.00;Sci&Tech;No;64;Mkt&HR;58.32;No;
33;F;61.00;Central;81.00;Central;Commerce;66.40;Comm&Mgmt;No;50.89;Mkt&HR;62.21;Yes;278000
34;F;87.00;Others;65.00;Others;Science;81.00;Comm&Mgmt;Yes;88;Mkt&Fin;72.78;Yes;260000
35;M;62.00;Others;51.00;Others;Science;52.00;Others;No;68.44;Mkt&HR;62.77;No;
36;F;69.00;Central;78.00;Central;Commerce;72.00;Comm&Mgmt;No;71;Mkt&HR;62.74;Yes;300000
37;M;51.00;Central;44.00;Central;Commerce;57.00;Comm&Mgmt;No;64;Mkt&Fin;51.45;No;
38;F;79.00;Central;76.00;Central;Science;65.60;Sci&Tech;No;58;Mkt&HR;55.47;Yes;320000
39;F;73.00;Others;58.00;Others;Science;66.00;Comm&Mgmt;No;53.7;Mkt&HR;56.86;Yes;240000
40;M;81.00;Others;68.00;Others;Science;64.00;Sci&Tech;No;93;Mkt&Fin;62.56;Yes;411000
41;F;78.00;Central;77.00;Others;Commerce;80.00;Comm&Mgmt;No;60;Mkt&Fin;66.72;Yes;287000
42;F;74.00;Others;63.16;Others;Commerce;65.00;Comm&Mgmt;Yes;65;Mkt&HR;69.76;No;
43;M;49.00;Others;39.00;Central;Science;65.00;Others;No;63;Mkt&Fin;51.21;No;
44;M;87.00;Others;87.00;Others;Commerce;68.00;Comm&Mgmt;No;95;Mkt&HR;62.9;Yes;300000
45;F;77.00;Others;73.00;Others;Commerce;81.00;Comm&Mgmt;Yes;89;Mkt&Fin;69.7;Yes;200000
46;F;76.00;Central;64.00;Central;Science;72.00;Sci&Tech;No;58;Mkt&HR;66.53;No;
